year,month,day,hour,minute,second,latitude,longitude,depth,magnitude
2013,6,12,18,22,3,-18.421,-69.6,136,4.2
2013,6,11,9,37,7,-21.89,-68.5,132.8,5.1
2013,6,11,0,45,33,-21.318,-68.644,132.8,4.4
2013,6,8,11,55,39,-21.498,-68.188,112.7,5.1
2013,6,6,17,34,14,-20.022,-69.094,104.3,4.5
2013,6,2,18,7,56,-21.659,-69.883,81.1,4.3
2013,5,23,0,14,11,-18.378,-69.492,145,4.8
2013,5,21,23,10,46,-20.572,-69.576,85.6,4.6
2013,5,19,5,10,23,-21.497,-68.463,144.6,4
2013,5,17,6,56,57,-19.192,-69.201,120.1,4.4
2013,5,15,16,31,23,-18.421,-71.2,41.3,4.3
2013,5,12,12,51,53,-20.996,-68.673,132.6,5.2
2013,5,6,11,9,56,-21.081,-69.064,112,4
2013,5,4,8,46,56,-21.292,-68.978,110.2,4.1
2013,4,30,6,46,10,-21.915,-68.692,128.5,4.2
2013,4,28,17,25,26,-21.257,-68.576,129.5,4.5
2013,4,28,9,37,24,-21.567,-69.839,83.8,3.9
2013,4,27,21,51,32,-18.328,-69.104,120.8,5.1
2013,4,26,12,14,9,-20.072,-69.09,101.2,4.5
2013,4,26,1,13,36,-21.634,-68.548,142.8,4.3
2013,4,23,19,37,52,-20.684,-68.952,96,4.4
2013,4,18,22,38,42,-21.792,-68.569,126,4.3
2013,4,3,21,9,27,-18.447,-69.724,112.3,4.5
2013,4,3,6,15,28,-20.005,-68.712,118.7,4.6
2013,4,1,18,16,33,-20.018,-69.085,98.8,4.4
2013,3,31,5,40,11,-20.658,-68.942,104.9,4.3
2013,3,31,1,43,38,-20.563,-69.063,96.3,4.4
2013,3,29,17,48,45,-20.412,-68.662,138,4.3
2013,3,28,7,48,53,-20.039,-69.187,95,4.7
2013,3,18,17,40,21,-21.284,-68.27,110.6,4.8
2013,3,15,6,31,6,-21.432,-68.997,119.7,4.2
2013,3,10,23,59,16,-18.833,-68.851,106.3,4.7
2013,3,9,1,17,51,-21.885,-68.845,104.8,4.5
2013,2,25,5,2,30,-18.238,-71.448,40.8,4.4
2013,2,24,14,38,37,-19.124,-70.197,85.9,4.3
2013,2,23,22,0,44,-19.949,-70.02,52.7,4.4
2013,2,22,7,41,39,-21.786,-68.577,129,4.6
2013,2,20,2,23,43,-21.591,-68.462,140.7,4.7
2013,2,16,4,13,59,-19.625,-69.358,97.2,4.4
2013,1,22,17,7,17,-20.088,-69.353,84.2,4.1
2013,1,21,17,3,39,-21.208,-68.59,131.9,4.4
2013,1,13,21,23,26,-20.058,-69.049,75.3,5.3
2013,1,9,18,38,45,-18.011,-69.451,123.9,5
2013,1,1,3,51,13,-20.809,-69.667,56.1,5.1
2012,12,29,6,4,16,-19.899,-69.216,101.3,3.7
2012,12,26,9,46,42,-21.095,-68.481,115.2,4.5
2012,12,16,20,39,24,-19.796,-69.387,112.6,4.9
2012,12,15,18,55,14,-21.074,-68.958,117,4.4
2012,12,13,15,16,11,-21.149,-68.605,127.5,4.3
2012,12,6,20,42,16,-21.965,-68.681,111.3,4.6
2012,12,5,6,32,55,-21.984,-68.615,119.4,4.3
2012,11,25,22,51,49,-19.632,-69.383,101.9,4.4
2012,11,24,12,50,20,-21.997,-68.823,105.5,4.4
2012,11,20,1,9,48,-21.841,-70.182,66.9,4.6
2012,11,18,2,34,51,-21.596,-68.663,118.5,4.1
2012,11,17,9,9,36,-18.885,-68.876,125,4.7
2012,11,16,0,38,5,-21.507,-69.503,54.3,5
2012,11,13,3,11,24,-20.437,-68.891,83.1,4.9
2012,11,9,6,4,43,-20.176,-69.225,104.2,4.5
2012,11,2,9,7,25,-21.273,-70.359,60.6,4.4
2012,10,22,15,55,29,-20.431,-68.737,117.9,4
2012,10,21,13,31,56,-21.823,-68.553,121.6,4.3
2012,10,14,7,46,49,-21.795,-68.558,125.7,4.2
2012,10,8,5,50,21,-21.837,-68.585,130.2,4.3
2012,10,8,2,54,13,-21.804,-68.574,130.9,4.1
2012,10,8,1,50,26,-21.725,-68.165,122,5.8
2012,9,27,16,39,0,-20.076,-69.254,100,4.7
2012,9,24,3,9,4,-20.219,-69.185,98.6,4.2
2012,9,23,12,28,30,-20.326,-69.301,89.2,4.5
2012,9,21,12,17,26,-19.569,-68.961,106,5.4
2012,9,15,10,39,1,-18.647,-70.524,39.9,4.3
2012,9,11,4,25,40,-20.65,-68.685,87.4,4.5
2012,9,10,2,14,5,-20.423,-68.954,103.9,4.5
2012,9,9,15,56,56,-21.015,-68.762,114.2,4.3
2012,8,31,1,12,16,-21.652,-68.665,114.5,4.3
2012,8,28,17,32,17,-18.831,-68.983,122.1,4.5
2012,8,24,19,8,12,-21.749,-68.285,92.6,4.3
