"latitude","longitude","year","month","day","magnitude","depth","hour","minute"
-40.430,-3.190,1997,6,9,3.2,0.00,12,2
-40.780,-22.810,1997,7,8,2.9,0.00,19,31
-51.910,-17.980,1997,7,11,2.8,0.00,19,16
-47.170,-20.820,1997,7,17,2.9,0.00,16,45
-50.580,-14.970,1997,8,16,3.0,0.00,16,11
-45.960,-22.870,1997,8,22,2.8,0.00,1,28
-50.610,-11.100,1997,8,24,3.1,0.00,5,59
-38.290,-4.410,1997,9,19,3.6,0.00,22,3
-38.290,-4.410,1997,9,21,3.3,0.00,4,14
-38.290,-4.410,1997,9,22,3.4,0.00,21,48
-39.530,-3.940,1997,10,23,2.9,0.00,23,15
-45.750,-20.750,1997,11,17,3.5,0.00,17,27
-47.580,-22.600,1997,11,25,3.3,0.00,23,39
-40.430,-3.190,1997,12,12,3.0,0.00,8,45
-38.290,-4.410,1997,12,16,3.1,0.00,3,34
-41.300,-16.220,1998,1,7,3.1,0.00,12,47
-39.490,-3.870,1998,2,2,2.8,0.00,15,31
-56.700,-17.910,1998,2,16,3.5,0.00,7,37
-49.640,-3.950,1998,2,27,3.4,0.00,6,57
-49.630,-3.860,1998,3,2,3.5,0.00,6,26
