eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1925,7,5,7,2,9.0,,-42.5,13.5,,,,60.0,,6.0,,
,,1925,7,7,15,5,21.0,,-61.0,18.5,,,,60.0,,6.5,,
,,1925,7,7,17,43,45.0,,-61.0,18.5,,,,60.0,,6.7999999999999998,,
,,1925,8,12,6,58,45.0,,-46.0,24.0,,,,60.0,,6.5,,
,,1925,9,29,17,33,50.0,,-62.0,18.5,,,,35.0,,6.5,,
,,1925,10,5,4,9,7.0,,-85.25,12.25,,,,135.0,,6.7999999999999998,,
,,1925,10,13,17,40,34.0,,-42.0,11.0,,,,35.0,,7.5,,
,,1926,2,1,1,17,33.0,,-63.5,10.5,,,,100.0,,6.5,,
,,1926,2,8,15,17,49.0,,-89.0,13.0,,,,35.0,,7.0999999999999996,,
,,1926,2,9,0,24,24.0,,-62.0,-28.0,,,,660.0,,6.5,,
,,1926,2,15,2,59,48.0,,-89.5,11.75,,,,35.0,,6.9000000000000004,,
,,1926,3,7,20,33,38.0,,-76.5,-5.0,,,,150.0,,6.5,,
,,1926,3,17,11,53,36.0,,-82.5,12.5,,,,50.0,,6.9000000000000004,,
,,1926,3,21,14,19,12.0,,-25.0,-61.0,,,,35.0,,7.0999999999999996,,
,,1926,3,24,5,41,21.0,,-69.5,19.5,,,,35.0,,5.5999999999999996,,
,,1926,4,28,11,13,50.0,,-69.0,-24.0,,,,180.0,,7.0,,
,,1926,5,5,6,21,33.0,,-91.0,3.0,,,,35.0,,6.5,,
,,1926,6,20,6,54,28.0,,-27.0,-59.0,,,,170.0,,6.9000000000000004,,
,,1926,8,12,22,17,48.0,,-70.0,-23.0,,,,35.0,,6.7999999999999998,,
,,1926,8,14,8,36,50.0,,-88.0,-40.0,,,,35.0,,6.0,,
,,1926,9,10,8,26,53.0,,-80.0,-44.0,,,,35.0,,5.5999999999999996,,
,,1926,11,5,7,55,38.0,,-85.799999999999997,12.300000000000001,,,,135.0,,7.0,,
,,1927,3,13,5,32,26.0,,-81.5,-6.0,,,,35.0,,6.0,,
,,1927,4,6,18,54,5.0,,-70.0,-10.0,,,,600.0,,6.0,,
,,1927,4,14,6,23,34.0,,-69.5,-32.0,,,,110.0,,7.0999999999999996,,
,,1927,5,22,1,45,10.0,,-67.0,-21.0,,,,140.0,,6.2000000000000002,,
,,1927,8,1,11,28,36.0,,-66.5,-24.0,,,,200.0,,6.5,,
,,1927,8,2,0,51,46.0,,-64.5,19.0,,,,35.0,,6.5,,
,,1927,8,20,23,54,25.0,,-82.5,5.0,,,,35.0,,7.0,,
,,1927,9,3,19,47,45.0,,-44.0,11.0,,,,35.0,,6.9000000000000004,,
,,1927,10,3,23,55,52.0,,-68.0,-21.0,,,,100.0,,6.5,,
,,1927,11,14,7,19,25.0,,-71.5,-30.5,,,,35.0,,6.7999999999999998,,
,,1927,11,21,23,12,25.0,,-73.0,-44.5,,,,35.0,,7.0999999999999996,,
,,1927,11,26,12,53,58.0,,-67.0,-24.5,,,,180.0,,6.7999999999999998,,
,,1928,1,5,21,46,13.0,,-64.0,-19.5,,,,640.0,,6.7999999999999998,,
,,1928,4,9,17,34,15.0,,-69.5,-13.0,,,,30.0,,6.9000000000000004,,
,,1928,4,15,21,59,0.0,,-4.5599999999999996,-37.759999999999998,,,,0.0,,4.0,,
,,1928,5,14,22,14,46.0,,-78.0,-5.0,,,,35.0,,7.2999999999999998,,
,,1928,5,26,8,28,56.0,,-69.0,-23.5,,,,130.0,,6.2000000000000002,,
,,1928,6,8,21,30,0.0,,-5.4199999999999999,-39.359999999999999,,,,0.0,,3.6000000000000001,,
,,1928,7,18,19,5,0.0,,-79.0,-5.5,,,,35.0,,7.0,,
,,1928,7,28,19,50,15.0,,-71.0,-31.0,,,,50.0,,6.5,,
