Longitude,Latitude,Rate
-40.00000,-21.00000,0.123
-39.00000,-21.00000,0.103
-38.00000,-21.00000,0.084
-37.00000,-21.00000,0.069
-36.00000,-21.00000,0.061
-35.00000,-21.00000,0.049
-34.00000,-21.00000,0.039
-33.00000,-21.00000,0.031
-32.00000,-21.00000,0.024
-31.00000,-21.00000,0.019
-80.00000,-20.00000,0.008
-79.00000,-20.00000,0.009
-78.00000,-20.00000,0.010
-77.00000,-20.00000,0.011
-76.00000,-20.00000,0.012
-75.00000,-20.00000,0.013
-74.00000,-20.00000,0.014
-73.00000,-20.00000,0.016
-72.00000,-20.00000,0.019
-71.00000,-20.00000,0.023
-70.00000,-20.00000,0.027
-69.00000,-20.00000,0.031
-68.00000,-20.00000,0.036
-67.00000,-20.00000,0.041
-66.00000,-20.00000,0.046
-65.00000,-20.00000,0.051
-64.00000,-20.00000,0.056
-63.00000,-20.00000,0.061
-62.00000,-20.00000,0.065
-61.00000,-20.00000,0.073
-60.00000,-20.00000,0.077
